,0,1,2,3,4,5,6,7,8,9,10,11
0,-71.20965,84.72257,-71.68318,81.663734,228.65073,219.40138,108.806725,96.73039,1709.8518,1707.2891,1731.1763,1730.4675
1,-70.783226,85.0426,-71.663445,81.55433,229.4454,219.81581,109.69107,97.022,1709.5854,1706.7708,1731.2507,1730.1615
2,-70.33651,85.392944,-71.63699,81.46543,230.32655,220.27078,110.6492,97.38179,1709.2366,1706.1646,1731.26,1729.7975
3,-69.82712,85.82178,-71.577385,81.429985,231.39389,220.82166,111.77842,97.89146,1708.7091,1705.3672,1731.1322,1729.3093
4,-69.20863,86.37756,-71.45014,81.48166,232.71854,221.51196,113.15454,98.61019,1707.9253,1704.2927,1730.8058,1728.6372
5,-68.433014,87.10568,-71.21399,81.65351,234.33807,222.37035,114.82645,99.57017,1706.8319,1702.879,1730.2345,1727.7307
6,-67.45471,88.04469,-70.82532,81.97603,236.2623,223.412,116.81875,100.7795,1705.4017,1701.0901,1729.391,1726.5516
7,-66.235435,89.22266,-70.245155,82.4742,238.4859,224.64328,119.1401,102.23039,1703.6301,1698.9126,1728.2668,1725.0753
8,-64.74811,90.65488,-69.4467,83.16445,241.00235,226.06732,121.79378,103.90949,1701.5275,1696.3513,1726.8711,1723.2916
9,-62.978592,92.34375,-68.42091,84.052216,243.8136,227.68915,124.786865,105.8078,1699.1102,1693.4219,1725.2268,1721.2063
10,-60.92501,94.28102,-67.17747,85.13121,246.93303,229.51894,128.13538,107.92796,1696.3939,1690.1448,1723.3676,1718.8423
11,-58.595062,96.45185,-65.74014,86.385315,250.38223,231.57275,131.86469,110.28801,1693.3884,1686.5416,1721.3333,1716.2405
12,-56.00255,98.839355,-64.1374,87.792946,254.18428,233.87094,136.00583,112.920746,1690.0985,1682.6339,1719.167,1713.4586
13,-53.163788,101.42853,-62.39099,89.333405,258.35712,236.4347,140.58946,115.869,1686.5278,1678.4453,1716.9111,1710.5671
14,-50.09427,104.20857,-60.506367,90.99362,262.9084,239.2815,145.63928,119.177414,1682.6859,1674.0046,1714.6028,1707.6415
15,-46.805275,107.17367,-58.468044,92.77382,267.8328,242.42072,151.16597,122.88259,1678.5929,1669.3503,1712.2717,1704.7532
16,-43.3006,110.32293,-56.24147,94.69026,273.11087,245.84941,157.16302,127.003494,1674.2837,1664.5305,1709.938,1701.9589
17,-39.573883,113.6603,-53.780426,96.774155,278.70953,249.54958,163.60449,131.53435,1669.8068,1659.6014,1707.6125,1699.2932
18,-35.6075,117.19505,-51.037167,99.066765,284.58398,253.48737,170.44493,136.44159,1665.219,1654.6226,1705.2992,1696.7637
19,-31.373917,120.94254,-47.971733,101.61184,290.68124,257.61523,177.62213,141.66583,1660.5791,1649.6486,1702.9949,1694.3512
20,-26.839802,124.92459,-44.557644,104.44751,296.94525,261.87753,185.06183,147.12866,1655.9385,1644.7225,1700.6907,1692.0135
21,-21.97232,129.16833,-40.783108,107.6,303.32297,266.2186,192.68494,152.74324,1651.3328,1639.8689,1698.3688,1689.6914
22,-16.745914,133.70311,-36.64863,111.08086,309.77087,270.5914,200.41602,158.427,1646.7754,1635.0895,1695.9998,1687.3157
23,-11.147594,138.5557,-32.16283,114.88805,316.2607,274.96484,208.1924,164.11412,1642.2546,1630.362,1693.5397,1684.8142
24,-5.1790466,143.74512,-27.338383,119.01007,322.78342,279.3275,215.97174,169.76506,1637.7327,1625.6418,1690.9303,1682.1168
