,0
0,457.26132
1,457.16666
2,457.0847
3,457.02136
4,456.98242
5,456.9691
6,456.9743
7,456.97943
8,456.95508
9,456.86774
10,456.68936
11,456.4068
12,456.0277
13,455.5797
14,455.10278
15,454.63812
16,454.21658
17,453.85086
18,453.53387
19,453.24396
20,452.95456
21,452.6435
22,452.29916
23,451.9208
24,451.5132
25,451.07913
26,450.61334
27,450.10162
28,449.5259
29,448.8732
30,448.14413
31,447.3567
32,446.54227
33,445.73553
34,444.9624
35,444.23096
36,443.52982
37,442.83444
38,442.11908
39,441.3684
40,440.58533
41,439.79126
42,439.0194
43,438.3048
44,437.67404
45,437.13864
46,436.6926
47,436.3142
48,435.97125
49,435.6272
50,435.2491
51,434.81326
52,434.30917
53,433.74075
54,433.12424
55,432.4852
56,431.8529
57,431.25436
58,430.7074
59,430.21594
60,429.76837
61,429.3417
62,428.91055
63,428.45724
64,427.98154
65,427.50226
66,427.05273
67,426.6698
68,426.38116
69,426.1963
70,426.10315
71,426.07175
72,426.06192
73,426.03302
74,425.95224
75,425.79962
76,425.5704
77,425.27383
78,424.93057
79,424.56757
80,424.2124
81,423.8871
82,423.60345
83,423.36172
84,423.15256
85,422.96228
86,422.7783
87,422.5934
88,422.40668
89,422.2214
90,422.04218
91,421.8725
92,421.71466
93,421.5719
94,421.4503
95,421.35944
96,421.31052
97,421.31247
98,421.36703
99,421.46637
100,421.59268
101,454.34198
102,454.31046
103,454.26733
104,454.20425
105,454.12094
106,454.0261
107,453.93594
108,453.8693
109,453.84143
110,453.85876
111,453.9161
112,453.99805
113,454.08337
114,454.15042
115,454.18265
116,454.17282
117,454.12466
118,454.0529
119,453.97925
120,453.92627
121,453.9105
122,453.93665
123,453.99634
124,454.0718
125,454.1425
126,454.193
127,454.21786
128,454.22238
129,454.2196
130,454.22467
131,454.24902
132,454.2959
133,454.35925
134,454.4259
135,454.4805
136,454.5122
137,454.51947
138,454.51126
139,454.50357
140,454.51263
141,454.5474
142,454.60516
143,454.6733
144,454.73596
145,454.78293
146,454.81674
147,454.85397
148,454.91916
149,455.03522
150,455.2129
151,455.44458
152,455.70557
153,455.96103
154,456.1768
155,456.32925
156,456.4106
157,456.42862
158,456.40125
159,456.34872
160,456.28635
161,456.22086
162,456.1516
163,456.07495
164,455.991
165,455.9078
166,455.8431
167,455.8212
168,455.866
169,455.99225
170,456.1979
171,456.4609
172,456.742
173,456.99353
174,457.1715
175,457.24628
176,457.2101
177,457.07748
178,456.88156
179,456.66595
180,456.47577
181,456.34952
182,456.31186
183,456.3698
184,456.51077
185,456.70453
186,456.90836
187,457.07538
188,457.16464
189,457.1499
190,457.02612
191,456.81027
192,456.53763
193,456.25436
194,456.0068
195,455.83084
196,455.74426
197,455.74393
198,455.8106
199,455.91833
200,456.0444
201,456.1747
202,455.48154
203,454.91132
204,454.46332
205,454.22324
206,454.21838
207,454.41528
208,454.73672
209,455.08957
210,455.39258
211,455.5956
212,455.68567
