,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,-213.18484,-265.41263,-256.339,-289.8122,-303.22766,-252.05673,-320.2779,152.09706,221.44684,219.8341,247.0263,265.33057,227.92601,299.2652,129.17859,128.06592,80.5697,148.09067,185.76044,128.36194,169.77548,124.41905,99.589775,97.35783,159.79373,219.73883,157.26448,220.49539,1517.5854,1343.2799,1154.1912,986.8938,902.3933,882.0899,801.1941,1519.4985,1258.1632,1152.7029,1053.2906,911.1277,883.22534,812.0084
1,-212.87138,-265.56372,-257.55682,-289.85443,-302.00003,-253.91125,-320.5302,152.03888,221.9488,220.27205,247.64404,265.9248,228.76009,300.0527,129.85109,129.03793,81.65027,150.34427,188.83679,129.07738,173.66324,124.39787,99.257744,96.99461,159.45695,219.59094,156.89308,220.35458,1517.5669,1343.5181,1154.4487,987.3355,902.8314,882.2931,801.68304,1519.5852,1258.2965,1152.8435,1053.4066,911.3081,883.3818,812.224
2,-212.53195,-265.68658,-258.73145,-289.88855,-300.79742,-255.67902,-320.73285,152.02592,222.45618,220.72737,248.26466,266.5226,229.60504,300.856,130.58984,130.10838,82.82212,152.69017,191.9712,130.00784,177.63806,124.369644,98.92833,96.64752,159.15378,219.46909,156.55127,220.25475,1517.5453,1343.7484,1154.6785,987.7622,903.25366,882.5028,802.18304,1519.655,1258.4213,1152.9731,1053.5273,911.4871,883.53406,812.4471
3,-212.13696,-265.74963,-259.82455,-289.8893,-299.60852,-257.29968,-320.83557,152.09856,222.97813,221.2236,248.8981,267.1345,230.47453,301.6896,131.46863,131.36987,84.18858,155.24005,195.24814,131.34625,181.8178,124.34196,98.60651,96.33024,158.90843,219.39311,156.2643,220.22766,1517.5026,1343.9509,1154.846,988.1503,903.6343,882.70905,802.69476,1519.6765,1258.5142,1153.0659,1053.6377,911.6455,883.6611,812.6638
4,-211.66486,-265.72806,-260.8073,-289.81915,-298.38702,-258.76196,-320.8077,152.28114,223.52052,221.77983,249.55447,267.77264,231.37495,302.55865,132.54059,132.87433,85.83619,158.09775,198.75473,133.21092,186.32239,124.32864,98.29625,96.049545,158.7294,219.37459,156.0539,220.2916,1517.4226,1344.1078,1154.9271,988.48413,903.95337,882.89557,803.22186,1519.6246,1258.5552,1153.1011,1053.7194,911.76575,883.7433,812.8573
5,-211.10387,-265.6057,-261.66266,-289.633,-297.05972,-260.1004,-320.63885,152.5795,224.0862,222.40836,250.24318,268.44913,232.3043,303.45856,133.83469,134.63034,87.82572,161.34552,202.56973,135.63641,191.25711,124.35056,98.00044,95.80392,158.60889,219.41605,155.93565,220.44995,1517.2905,1344.2028,1154.9097,988.7548,904.19806,883.04047,803.7669,1519.4814,1258.5281,1153.062,1053.7515,911.83246,883.763,813.0074
6,-210.45111,-265.3748,-262.38535,-289.28885,-295.55093,-261.3724,-320.33295,152.9832,224.67717,223.11356,250.97212,269.1732,233.25449,304.37857,135.35864,136.6149,90.18586,165.02852,206.74777,138.58719,196.68857,124.43542,97.72111,95.584,158.52756,219.51273,155.91635,220.69402,1517.0884,1344.2188,1154.7876,988.9553,904.36005,883.1171,804.3234,1519.2313,1258.4175,1152.9341,1053.7094,911.8291,883.70123,813.0898
7,-209.70955,-265.03455,-262.9791,-288.76022,-293.81204,-262.6251,-319.89856,153.47202,225.29767,223.89285,251.74774,269.94846,234.216,305.3075,137.10657,138.79254,92.91057,169.14262,211.30396,141.98528,202.62213,124.61645,97.45976,95.37459,158.46196,219.65549,155.99205,221.0086,1516.7922,1344.134,1154.5541,989.0728,904.4314,883.095,804.86725,1518.8545,1258.2036,1152.698,1053.5625,911.73376,883.5332,813.07434
8,-208.884,-264.58853,-263.4526,-288.0451,-291.8429,-263.86707,-319.34003,154.02383,225.95663,224.73941,252.5756,270.77206,235.18378,306.23895,139.06793,141.13385,95.96154,173.63147,216.20543,145.74022,208.99097,124.93002,97.21782,95.1579,158.3917,219.83386,156.14769,221.37804,1516.3682,1343.9205,1154.1943,989.0834,904.39935,882.94025,805.3519,1518.3198,1257.8577,1152.3252,1053.2723,911.514,883.22473,812.92365
9,-207.97748,-264.0425,-263.81512,-287.16675,-289.6955,-265.0561,-318.65216,154.62141,226.66832,225.64632,253.46124,271.63562,236.16136,307.17447,141.23521,143.62596,99.27597,178.39557,221.3743,149.77057,215.66354,125.41224,96.997154,94.917725,158.30432,220.03802,156.35864,221.79008,1515.7731,1343.5425,1153.6825,988.94946,904.2425,882.6165,805.7111,1517.5826,1257.3392,1151.7747,1052.7915,911.1239,882.73016,812.5915
10,-206.98923,-263.40247,-264.0741,-286.16638,-287.45764,-266.10797,-317.82056,155.25586,227.4502,226.61066,254.41049,272.52783,237.16187,308.12286,143.60815,146.27298,102.778534,183.31158,226.70181,154.01271,222.46945,126.094864,96.80111,94.64386,158.197,220.25926,156.59367,222.23647,1514.9589,1342.9601,1152.983,988.62354,903.92944,882.08685,805.86847,1516.5864,1256.5967,1150.9945,1052.0654,910.5054,881.995,812.0242
11,-205.91528,-262.67377,-264.23502,-285.0896,-285.22388,-266.92236,-316.82544,155.926,228.31853,227.63622,255.4289,273.43817,238.20505,309.09625,146.19356,149.08852,106.39559,188.25697,232.07025,158.41864,229.23596,127.00117,96.63601,94.33601,158.07509,220.48909,156.81868,222.70966,1513.8788,1342.1343,1152.057,988.05493,903.42096,881.317,805.751,1515.2708,1255.5741,1149.9279,1051.0367,909.5937,880.9611,811.1635
12,-204.7503,-261.8609,-264.3035,-283.97226,-283.0647,-267.41428,-315.64676,156.63492,229.28311,228.73314,256.52017,274.35995,239.3117,310.1045,149.00131,152.08548,110.068275,193.13272,237.37573,162.94809,235.82352,128.14235,96.512665,94.006,157.94899,220.71738,157.0006,223.19774,1512.4955,1341.0338,1150.8706,987.1988,902.6747,880.2802,805.3021,1513.5822,1254.2196,1148.5226,1049.654,908.3263,879.57556,809.9525
