,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,-191.86775,-276.49994,-269.9397,-305.78406,-269.10693,-305.00848,-324.81958,136.85722,215.82193,205.31293,256.26987,299.77972,241.13557,330.5922,202.18462,207.27219,160.99814,262.61572,303.9978,229.84834,315.50922,185.60814,158.52454,149.68794,177.37897,263.90872,205.91916,241.2013,1489.4434,1328.3771,1120.5752,965.62445,891.4508,881.1184,814.53,1479.6716,1235.2026,1110.3223,1031.8451,894.1724,874.0384,804.7912
1,-191.90675,-276.49365,-270.00134,-305.15826,-267.9085,-304.7514,-323.40503,136.80313,215.96147,205.98569,256.81488,299.64487,241.80525,330.8982,203.34029,207.94202,160.88805,262.29678,303.02484,229.34062,315.0245,187.02768,159.5386,150.33817,178.38239,264.9708,206.70912,242.3237,1489.6726,1328.5404,1120.8866,965.5738,891.2493,881.2643,814.2852,1479.9062,1235.6378,1110.7354,1032.3093,894.4292,874.18774,805.1949
2,-191.93655,-276.4931,-270.06393,-304.53967,-266.7442,-304.51062,-322.016,136.75168,216.13063,206.665,257.35864,299.48584,242.49107,331.19794,204.51398,208.6128,160.78198,261.97333,302.04935,228.82272,314.51486,188.46907,160.56197,151.00682,179.40523,266.0807,207.43663,243.47733,1489.9171,1328.732,1121.2252,965.5487,891.07526,881.4343,814.0629,1480.1459,1236.0764,1111.1566,1032.7662,894.67786,874.3884,805.5987
3,-191.94786,-276.5017,-270.13397,-303.93738,-265.64484,-304.3021,-320.67712,136.70593,216.35269,207.36111,257.90338,299.27643,243.20566,331.48312,205.73668,209.29645,160.68234,261.64008,301.06458,228.28362,313.95673,189.96718,161.61589,151.73224,180.48859,267.30157,208.07626,244.71846,1490.1897,1328.9757,1121.6172,965.57263,890.9523,881.6513,813.88464,1480.3927,1236.5198,1111.5891,1033.2092,894.90985,874.678,806.002
4,-191.93526,-276.51996,-270.22046,-303.36255,-264.6352,-304.1355,-319.41217,136.66832,216.63899,208.08624,258.45618,298.99603,243.95605,331.74915,207.03748,210.01114,160.58978,261.29358,300.06757,227.71642,313.33594,191.55313,162.72055,152.5608,181.67896,268.68692,208.63472,246.102,1490.4967,1329.2823,1122.078,965.66003,890.89417,881.928,813.7647,1480.6445,1236.9655,1112.0287,1033.6324,895.11487,875.06885,806.402
5,-191.8978,-276.5453,-270.33514,-302.82794,-263.73108,-304.0149,-318.24274,136.63988,216.98769,208.85411,259.02875,298.63214,244.7429,331.9955,208.44202,210.78056,160.50284,260.93268,299.05966,227.11938,312.6496,193.2522,163.8975,153.54295,183.02536,270.27618,209.15349,247.6782,1490.8368,1329.6486,1122.61,965.81433,890.90344,882.2655,813.7094,1480.895,1237.4067,1112.4641,1034.0314,895.2819,875.5453,806.7928
6,-191.83798,-276.5735,-270.49207,-302.34662,-262.93713,-303.94147,-317.18713,136.61975,217.38649,209.6788,259.63477,298.18195,245.56142,332.225,209.97159,211.631,160.41823,260.55835,298.04535,226.4956,311.90512,195.08298,165.17406,154.72462,184.57416,272.09366,209.7021,249.48952,1491.2017,1330.0586,1123.2045,966.0296,890.9728,882.6552,813.7176,1481.1337,1237.8329,1112.881,1034.4038,895.4022,876.0674,807.16644
7,-191.76001,-276.59988,-270.70627,-301.93002,-262.2469,-303.9173,-316.25836,136.60492,217.81798,210.57301,260.28574,297.65256,246.40314,332.4416,211.64232,212.58688,160.33176,260.17255,297.02945,225.85141,311.1172,197.05714,166.58597,156.1364,186.36243,274.14914,210.36432,251.56758,1491.5775,1330.4896,1123.8461,966.2934,891.08875,883.0827,813.7833,1481.3483,1238.2308,1113.266,1034.7495,895.4718,876.5824,807.51416
8,-191.6676,-276.62067,-270.9917,-301.586,-261.6447,-303.9478,-315.46207,136.59064,218.26569,211.5456,260.98688,297.05988,247.25713,332.6475,213.4643,213.66614,160.2396,259.77692,296.01447,225.19408,310.30347,199.17944,168.17548,157.78458,188.41203,276.44037,211.22195,253.93057,1491.9487,1330.9187,1124.5189,966.5917,891.2368,883.5333,813.8991,1481.5276,1238.5885,1113.6119,1035.0702,895.4936,877.0389,807.8286
9,-191.56244,-276.63324,-271.3589,-301.31766,-261.11047,-304.04126,-314.79523,136.5714,218.71883,212.59868,261.73398,296.42462,248.11005,332.8405,215.44067,214.87662,160.1397,259.3715,294.99854,224.52965,309.48044,201.44754,169.98366,159.6491,190.72688,278.95697,212.34108,256.58215,1492.3014,1331.3284,1125.2115,966.9129,891.4062,883.9974,814.05865,1481.6626,1238.8967,1113.9191,1035.3682,895.4779,877.3999,808.1065
10,-191.44305,-276.63617,-271.8131,-301.12363,-260.62537,-304.20682,-314.24643,136.54257,219.17426,213.72484,262.51254,295.7667,248.9455,333.01184,217.56711,216.21445,160.03256,258.95435,293.97507,223.86153,308.66003,203.85246,172.03893,161.69008,193.29413,281.68472,213.76393,259.51324,1492.6265,1331.7118,1125.9203,967.25116,891.59265,884.47314,814.25903,1481.7491,1239.1528,1114.1946,1035.6459,895.4406,877.651,808.35034
