,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,-15.709288,-19.648441,-4.801033,-2.9996567,75.185974,-15.5747385,-20.64303,-144.68343,132.1958,-69.458755,23.603685,63.29942,49.453148,190.03905,239.71854,-6.6962337,59.254646,39.748642,226.66356,204.41693,46.604214,35.605156,1556.231,1213.5596,1464.6195,1291.1406,1358.2211,1156.5698,1063.8497,1028.8312,1017.3799,1060.6298,1059.2688
1,-15.832178,-19.714272,-4.978298,-3.1128902,75.08422,-15.617819,-20.541573,-144.802,132.0951,-69.54995,23.571796,62.951443,49.286682,189.68466,239.4064,-6.960001,59.132637,39.778038,226.58896,204.40933,46.469917,35.55167,1556.1494,1213.5288,1464.606,1291.1309,1358.1488,1156.5475,1063.7402,1028.8467,1017.41235,1060.6232,1059.2688
2,-15.949224,-19.79048,-5.154476,-3.2252655,74.98039,-15.668497,-20.459623,-144.91539,131.99532,-69.64407,23.532146,62.5891,49.12088,189.32565,239.09833,-7.2255974,59.00956,39.794357,226.51892,204.39209,46.34083,35.49583,1556.0714,1213.4917,1464.5929,1291.13,1358.0806,1156.5206,1063.6376,1028.8613,1017.44116,1060.6149,1059.2644
3,-16.058107,-19.886478,-5.3295555,-3.3373013,74.87225,-15.734436,-20.413965,-145.02028,131.89635,-69.74408,23.477306,62.199318,48.955605,188.95636,238.7949,-7.4961433,58.884487,39.78793,226.45657,204.3566,46.22124,35.433952,1556.0006,1213.4429,1464.5806,1291.1448,1358.0198,1156.4851,1063.5471,1028.874,1017.46356,1060.6034,1059.2523
4,-16.160192,-20.009003,-5.503521,-3.4499016,74.75851,-15.821993,-20.415806,-145.11423,131.79803,-69.85225,23.401102,61.775364,48.791748,188.57312,238.49532,-7.771801,58.75882,39.756435,226.40402,204.29825,46.115913,35.36222,1555.9401,1213.3787,1464.5695,1291.1782,1357.9683,1156.438,1063.4713,1028.8828,1017.47784,1060.5874,1059.231
5,-16.260572,-20.161148,-5.6761627,-3.5644608,74.63961,-15.935435,-20.46939,-145.19595,131.70038,-69.97013,23.299362,61.317646,48.630615,188.17468,238.19775,-8.049528,58.635826,39.704777,226.3624,204.21713,46.02961,35.277077,1555.8914,1213.2981,1464.5596,1291.2294,1357.9254,1156.3776,1063.4093,1028.8855,1017.48395,1060.5662,1059.2009
6,-16.366697,-20.341795,-5.846916,-3.6829262,74.51856,-16.076181,-20.572006,-145.26552,131.60345,-70.09864,23.170612,60.83253,48.47255,187.76181,237.90015,-8.32416,58.519028,39.642075,226.33205,204.11708,45.966038,35.176006,1555.8551,1213.2021,1464.5515,1291.2946,1357.8899,1156.3037,1063.3575,1028.8812,1017.48334,1060.5392,1059.1643
7,-16.48593,-20.545534,-6.0147324,-3.8076534,74.40114,-16.24221,-20.71534,-145.32433,131.50731,-70.23817,23.016537,60.329952,48.31568,187.33664,237.60072,-8.590261,58.41005,39.57731,226.31264,204.00418,45.926384,35.058685,1555.8302,1213.0948,1464.546,1291.3687,1357.8602,1156.2184,1063.3112,1028.8708,1017.4786,1060.507,1059.1237
8,-16.622778,-20.763172,-6.178234,-3.941002,74.29519,-16.42791,-20.887697,-145.37509,131.41182,-70.38851,22.84201,59.82076,48.15542,186.90205,237.29822,-8.844152,58.30697,39.515396,226.3032,203.88486,45.908085,34.92811,1555.8142,1212.981,1464.5435,1291.447,1357.836,1156.125,1063.2654,1028.8579,1017.4726,1060.4707,1059.0809
9,-16.776964,-20.982958,-6.3360863,-4.0847626,74.20906,-16.62468,-21.076385,-145.42181,131.31636,-70.54875,22.654484,59.31464,47.985184,186.4615,236.99156,-9.085384,58.20384,39.45529,226.30179,203.76456,45.904305,34.79101,1555.8038,1212.8665,1464.5442,1291.5265,1357.819,1156.0283,1063.2173,1028.8481,1017.46844,1060.4321,1059.0374
